"","COP","CVX","XOM","XLE","SPY"
"2023-08-30",108.828956604004,142.526016235352,101.124397277832,40.3593368530273,434.502410888672
"2023-08-31",109.131507873535,143.344619750977,101.40714263916,40.3865814208984,433.866546630859
"2023-09-01",111.982887268066,146.191940307617,103.532135009766,41.213207244873,434.675842285156
"2023-09-05",112.615524291992,148.113861083984,103.541259765625,41.4312133789062,432.797210693359
"2023-09-06",112.835540771484,148.265151977539,104.435028076172,41.4493865966797,429.887725830078
"2023-09-07",111.588638305664,148.274047851562,103.924293518066,41.4085083007812,428.567840576172
"2023-09-08",112.514656066895,148.781219482422,105.438255310059,41.8081932067871,429.213317871094
"2023-09-11",110.424255371094,145.711441040039,104.115837097168,41.2586250305176,432.036163330078
"2023-09-12",112.844718933105,148.425308227539,107.152847290039,42.2305908203125,429.666168212891
"2023-09-13",112.13875579834,147.882522583008,106.19522857666,41.9126625061035,430.167114257812
"2023-09-14",114.146629333496,148.799011230469,108.092216491699,42.4031867980957,433.876159667969
"2023-09-15",113.293975830078,148.149490356445,106.432342529297,41.7900352478027,428.648712158203
"2023-09-18",114.128295898438,148.790115356445,107.289642333984,42.1441650390625,428.900085449219
"2023-09-19",112.918067932129,148.772308349609,107.00691986084,41.7506828308105,428.010620117188
"2023-09-20",111.093536376953,148.31852722168,106.158729553223,41.3617744445801,424.075744628906
"2023-09-21",109.168182373047,146.983856201172,104.663055419922,40.7944145202637,417.066528320312
"2023-09-22",109.250694274902,147.953704833984,104.827194213867,40.8630485534668,416.128723144531
"2023-09-25",111.001861572266,150.115921020508,106.003707885742,41.3754997253418,417.878631591797
"2023-09-26",110.149192810059,149.306198120117,106.167869567871,41.1375694274902,411.739440917969
"2023-09-27",113.420318603516,152.189086914062,109.624412536621,42.162467956543,411.90380859375
"2023-09-28",113.079391479492,151.788711547852,108.958633422852,42.2082252502441,414.291748046875
"2023-09-29",110.388778686523,150.03581237793,107.234931945801,41.3572006225586,413.286315917969
"2023-10-02",107.900886535645,148.18505859375,105.456497192383,40.5336227416992,413.121948242188
"2023-10-03",108.361610412598,148.532073974609,105.638900756836,40.506160736084,407.591857910156
"2023-10-04",104.427055358887,145.070816040039,101.68985748291,39.2341995239258,410.559906005859
"2023-10-05",104.509963989258,145.836013793945,99.4006958007812,38.9917030334473,410.4052734375
"2023-10-06",106.26993560791,144.350067138672,97.7408294677734,39.2250480651855,415.277954101562
"2023-10-09",112.250076293945,148.345260620117,101.16089630127,40.5336227416992,417.936645507812
"2023-10-10",110.932434082031,148.18505859375,100.732238769531,40.5839462280273,420.111907958984
"2023-10-11",110.609916687012,143.344619750977,97.1206512451172,40.0623512268066,421.832794189453
"2023-10-12",111.59587097168,143.460296630859,97.1024169921875,40.1081047058105,419.261138916016
"2023-10-13",115.051277160645,145.978408813477,100.203285217285,40.9911651611328,417.172882080078
"2023-10-16",115.465919494629,147.170700073242,100.276222229004,41.2656860351562,421.56201171875
"2023-10-17",115.604125976562,149.119369506836,101.589538574219,41.6957702636719,421.542694091797
"2023-10-18",116.645370483398,150.302764892578,103.012283325195,42.0755348205566,415.925659179688
"2023-10-19",116.451858520508,150.462921142578,103.076110839844,42.002326965332,412.271179199219
"2023-10-20",114.314117431641,148.443099975586,101.306816101074,41.2977142333984,407.205169677734
"2023-10-23",111.807800292969,142.970901489258,99.8202285766602,40.6297035217285,406.499420166016
"2023-10-24",110.526992797852,139.385070800781,98.8534851074219,40.0577774047852,409.564117431641
"2023-10-25",110.950859069824,138.691040039062,99.0358963012695,39.9845733642578,403.686004638672
"2023-10-26",109.015830993652,137.694473266602,98.1330032348633,39.6734390258789,398.85205078125
"2023-10-27",108.545890808105,128.440689086914,96.2633666992188,38.7217559814453,397.044128417969
"2023-10-30",108.859161376953,129.988906860352,96.5643157958984,38.8498649597168,401.791076660156
"2023-10-31",109.467323303223,129.668594360352,96.5369644165039,38.9779739379883,404.314483642578
"2023-11-01",107.504676818848,128.111465454102,96.3454360961914,38.8864707946777,408.626312255859
"2023-11-02",112.434379577637,132.364624023438,99.5101470947266,40.0623512268066,416.457427978516
"2023-11-03",110.342697143555,131.341400146484,98.2971572875977,39.6597137451172,420.256958007812
"2023-11-06",109.163261413574,130.798629760742,96.5552139282227,39.2113189697266,421.223785400391
"2023-11-07",106.19620513916,128.494094848633,95.0412673950195,38.3419952392578,422.422546386719
"2023-11-08",105.459045410156,126.705589294434,93.8738784790039,37.861572265625,422.731903076172
"2023-11-09",105.182624816895,126.296333312988,93.9012451171875,37.7471885681152,419.435150146484
"2023-11-10",106.527946472168,127.195007324219,94.6217346191406,38.1635475158691,425.980316162109
"2023-11-13",106.833557128906,128.129257202148,95.6158294677734,38.4380722045898,425.574279785156
"2023-11-14",107.00023651123,129.063568115234,95.9839706420898,38.7812347412109,433.830780029297
"2023-11-15",106.527938842773,129.517333984375,95.404167175293,38.7080307006836,434.749206542969
"2023-11-16",103.712631225586,127.467346191406,94.2997207641602,37.9530830383301,435.280975341797
"2023-11-17",106.120452880859,129.885971069336,96.6006164550781,38.7492065429688,435.822418212891
"2023-11-20",106.861328125,129.814041137695,96.1772613525391,38.8041076660156,439.177185058594
"2023-11-21",106.657592773438,129.508361816406,96.1404266357422,38.7171821594238,438.220001220703
"2023-11-22",106.36124420166,129.769073486328,95.7262802124023,38.6988830566406,439.911895751953
"2023-11-24",106.95393371582,130.281585693359,96.2416687011719,38.8590240478516,440.182556152344
"2023-11-27",106.314933776855,129.796035766602,95.6802597045898,38.7217559814453,439.389801025391
"2023-11-28",106.481628417969,130.830032348633,95.6250381469727,38.7309112548828,439.824859619141
